500
13743
13357
100 59	68 55
12 49	17 53
16 94	40 81
42 19	53 47
13 72	43 67
34 30	62 19
76 23	17 34
42 97	100 76
35 70	18 49
90 84	40 42
55 92	56 40
80 43	29 40
31 19	16 34
50 89	74 48
97 66	17 38
15 39	14 86
10 23	25 67
20 94	70 46
50 80	13 63
24 97	58 73
99 30	18 28
38 43	85 33
41 17	34 92
16 64	85 45
67 39	64 51
80 34	59 44
99 57	33 82
90 45	65 55
94 82	22 27
14 20	51 43
28 88	78 38
21 59	99 33
78 59	28 85
78 88	61 88
81 73	29 32
60 46	100 55
15 38	23 18
15 34	44 16
38 11	59 91
97 49	66 85
85 60	32 45
84 65	17 59
49 77	93 92
80 70	36 28
18 50	21 12
27 74	100 20
60 39	28 76
47 14	81 56
21 39	85 31
58 25	75 17
79 43	35 92
47 81	59 71
78 52	46 23
35 24	24 70
94 15	68 80
26 80	12 12
14 44	36 34
14 28	83 100
74 41	90 78
94 72	93 15
72 91	99 52
83 12	30 55
71 55	20 90
24 63	89 43
78 90	16 83
54 66	97 92
57 78	43 44
34 22	75 95
55 88	57 50
38 74	88 82
14 28	28 79
43 94	58 60
49 93	91 88
91 91	44 52
39 84	27 10
17 97	69 83
50 72	23 63
83 38	64 44
82 66	99 17
66 92	78 19
19 60	28 21
81 68	74 28
95 89	55 31
46 22	72 75
23 60	84 33
47 73	100 38
50 93	70 17
16 91	25 78
73 84	79 79
81 72	21 63
86 53	64 26
12 68	84 67
79 52	93 39
74 67	55 32
95 77	19 25
74 26	28 31
22 50	69 71
23 38	34 37
97 47	40 100
13 53	52 21
76 33	59 43
49 53	73 49
39 60	26 51
66 36	100 79
32 53	70 27
94 18	35 77
17 49	67 54
25 62	31 62
92 19	39 51
79 67	13 40
88 58	46 91
99 60	32 57
82 50	15 50
97 70	75 49
82 70	29 68
87 31	80 14
78 60	59 44
21 14	98 38
92 37	58 51
98 65	64 39
50 25	92 26
15 43	75 88
28 34	70 93
82 47	39 51
85 59	17 41
15 79	98 80
23 47	73 72
89 89	44 87
80 11	65 59
66 42	76 63
89 87	55 20
60 50	26 39
48 67	53 70
83 51	55 92
36 97	46 39
94 22	49 28
38 77	57 58
90 56	97 89
53 77	86 45
91 60	69 82
24 53	86 45
57 49	97 35
17 71	56 84
56 80	75 66
49 55	28 59
93 82	88 45
19 91	98 19
48 11	74 23
97 64	83 26
78 18	79 86
89 16	24 31
12 72	76 74
54 92	39 75
67 50	59 44
58 14	87 23
15 23	37 99
42 34	85 50
52 57	32 27
81 35	100 99
84 55	59 20
85 99	68 76
77 25	42 36
34 43	38 83
54 45	62 93
20 10	75 92
87 55	86 52
30 17	92 98
55 20	38 93
66 24	95 15
71 70	52 63
42 30	36 67
82 20	12 100
66 15	14 41
46 77	97 15
92 90	27 22
56 20	64 28
98 41	39 52
60 35	38 68
71 86	19 55
71 90	44 46
59 63	92 47
80 69	86 97
58 98	59 18
42 78	83 71
90 69	82 68
61 55	83 76
76 10	49 74
43 17	61 65
95 72	31 37
30 67	93 72
11 16	96 53
85 66	34 77
43 13	54 58
61 15	44 28
73 48	50 100
64 49	66 34
45 49	34 17
12 63	48 30
60 76	73 84
49 88	81 59
28 48	89 19
24 95	97 57
45 14	46 28
69 52	24 44
89 85	98 85
87 48	73 99
53 13	62 46
16 43	14 31
43 44	31 69
84 78	19 82
34 12	31 92
49 87	65 13
84 68	17 86
69 80	98 85
20 89	71 41
31 47	39 12
59 99	10 15
82 91	62 54
60 59	100 64
50 44	92 67
13 78	68 68
78 23	64 34
29 75	47 75
97 90	90 76
35 60	13 19
10 54	74 86
23 29	29 62
51 77	26 80
72 93	56 72
77 76	75 32
61 86	67 45
16 27	45 22
29 92	89 88
50 86	63 16
46 63	77 26
19 70	83 44
57 79	23 65
42 56	72 100
15 89	52 23
38 26	54 48
85 39	57 22
64 42	38 58
74 50	83 29
40 30	28 50
59 85	50 22
87 42	74 55
12 64	54 61
79 53	66 81
67 40	86 48
12 12	96 41
83 94	90 94
85 19	39 48
32 63	27 23
67 96	90 19
68 97	57 20
49 19	65 91
81 31	88 76
96 10	72 85
32 11	30 70
78 48	15 81
64 66	67 65
44 69	50 68
47 12	83 20
46 68	44 57
66 35	84 58
36 71	41 15
35 12	69 59
77 10	87 43
99 100	55 58
36 80	70 45
16 35	10 79
64 24	51 74
47 63	11 43
87 77	31 42
79 67	41 62
13 13	18 13
19 28	46 23
68 35	59 23
49 85	97 26
29 51	95 77
22 42	81 85
44 50	18 88
31 46	81 58
49 63	64 44
19 32	34 66
10 92	38 32
56 69	20 22
52 79	98 14
84 52	78 60
31 90	28 73
93 21	83 30
29 69	31 64
78 50	87 57
50 52	25 52
59 32	18 56
62 88	29 53
53 20	42 56
66 89	43 13
77 84	88 21
35 68	31 65
95 59	52 28
23 31	23 19
81 85	99 89
90 13	17 11
99 82	52 45
53 39	79 11
32 80	26 89
27 63	21 35
21 75	99 50
56 51	29 84
86 47	27 69
63 23	81 70
13 63	85 59
76 44	20 67
69 31	15 47
74 90	60 91
29 80	100 86
57 18	76 86
40 49	40 43
26 80	31 24
54 12	50 89
93 65	57 23
95 84	59 29
52 76	44 71
59 51	48 29
38 98	55 11
30 27	70 100
97 70	21 93
84 91	34 85
52 92	84 63
70 29	67 15
55 64	79 62
82 57	33 53
27 79	72 42
49 61	66 82
57 55	77 18
79 49	56 59
55 45	20 98
10 27	98 11
50 98	25 39
23 58	65 90
98 86	46 63
37 26	100 65
33 33	45 66
64 56	60 80
13 42	17 38
92 94	28 64
46 24	22 23
13 21	61 42
