750
20351
20460
89 82	39 86
71 93	64 27
29 42	24 32
71 73	78 71
31 51	27 56
90 80	31 12
15 23	83 33
76 82	34 17
21 38	21 25
73 12	23 50
52 85	74 18
65 62	92 33
72 90	50 93
46 90	50 85
76 80	93 20
42 43	63 66
15 45	55 17
18 33	72 78
11 61	37 77
93 53	92 28
27 18	50 44
90 66	52 77
60 14	80 93
41 29	74 76
61 39	41 23
20 23	35 89
40 32	64 97
29 42	19 17
50 65	20 82
25 19	15 18
53 35	72 63
63 11	44 53
16 49	83 100
55 36	52 19
75 65	14 68
64 22	15 40
79 24	34 21
95 33	94 80
100 82	27 89
31 66	45 70
99 48	20 63
